userid,movieid,rating,timestamp
18,2987,5,36
18,648,4,36
18,2628,4,36
18,1682,4,36
18,3793,5,36
18,2054,3,36
18,1259,5,36
18,653,3,36
18,2701,3,36
18,586,4,36
18,588,5,36
18,589,5,36
18,1690,1,36
18,1,4,36
18,2,2,36
18,153,3,36
18,1408,5,36
18,1193,4,36
18,1196,5,36
18,590,4,36
18,1197,5,36
18,736,1,36
18,1198,5,36
18,592,4,36
18,594,5,36
18,595,5,36
18,3448,4,36
18,1918,3,36
18,163,5,36
18,2140,4,36
18,2145,3,36
18,1271,5,36
18,2076,3,36
18,1275,5,36
18,2078,4,36
18,2723,1,36
18,3526,3,36
18,3527,2,36
18,1784,4,36
18,2080,5,36
18,2081,5,36
18,1282,5,36
18,3396,5,36
18,1500,4,36
18,3108,4,36
18,2161,5,36
18,1291,5,36
18,2167,4,36
18,10,5,36
18,1876,3,36
18,260,5,36
18,266,3,36
18,17,4,36
18,2248,4,36
18,1377,2,36
18,1378,4,36
18,3623,1,36
18,919,5,36
18,2826,4,36
18,778,5,36
18,1954,3,36
18,3489,4,36
18,920,5,36
18,1527,4,36
18,780,3,36
18,3703,5,36
18,1387,4,36
18,3704,4,36
18,1960,5,36
18,2763,3,36
18,1962,5,36
18,1028,5,36
18,1968,5,36
18,353,5,36
18,34,5,36
18,2336,5,36
18,288,4,36
18,2193,5,36
18,1391,3,36
18,2194,4,36
18,2268,4,36
18,1396,4,36
18,2916,3,36
18,1036,3,36
18,3578,4,36
18,434,2,36
18,364,5,36
18,292,4,36
18,367,4,36
18,368,3,36
18,47,1,36
18,296,5,36
18,1617,5,36
18,1544,3,36
18,2278,3,36
18,2858,5,36
18,50,5,36
18,377,2,36
18,1552,1,36
18,2355,5,36
18,2797,4,36
18,380,3,36
18,527,5,36
18,454,3,36
18,2291,5,36
18,1562,1,36
18,2294,4,36
18,1639,4,36
18,2000,4,36
18,2001,3,36
18,2002,4,36
18,1200,4,36
18,1201,4,36
18,2005,5,36
18,2006,3,36
18,969,5,36
18,2872,5,36
18,1207,5,36
18,2947,5,36
18,2948,5,36
18,1711,4,36
18,466,3,36
18,3247,4,36
18,3175,5,36
18,3751,5,36
18,1210,5,36
18,3753,3,36
18,1215,5,36
18,1073,4,36
18,2959,4,36
18,1721,4,36
18,3255,4,36
18,3257,2,36
18,1580,5,36
18,110,5,36
18,2020,5,36
18,2021,4,36
18,2028,5,36
18,3698,3,36
18,551,5,36
18,555,4,36
18,1089,5,36
18,1805,4,36
18,1732,3,36
18,2391,1,36
18,95,1,36
18,3911,1,36
18,2100,4,36
18,2105,4,36
18,1234,5,36
18,1094,4,36
18,1097,5,36
18,2542,4,36
18,3418,1,36
18,2616,4,36
18,2470,3,36
18,2617,1,36
18,1676,3,36
18,208,1,36
18,2115,5,36
18,1240,5,36
18,1242,5,36
18,1246,5,36
22,2987,4,36
22,648,2,36
22,2628,2,36
22,2124,3,36
22,2054,2,42
22,3868,5,36
22,2997,4,36
22,1259,4,36
22,586,3,36
22,587,2,36
22,2490,3,36
22,589,4,36
22,1909,1,36
22,223,4,36
22,2134,2,36
22,2064,4,36
22,1408,3,39
22,1265,4,36
22,733,4,39
22,1196,4,36
22,1197,3,36
22,736,2,36
22,1198,4,42
22,592,2,36
22,2716,4,36
22,2717,3,36
22,2571,3,36
22,1917,1,36
22,231,3,36
22,161,3,36
22,163,3,36
22,165,3,39
22,1270,4,36
22,1278,2,36
22,3450,3,36
22,1921,4,36
22,3526,4,36
22,3527,4,57
22,1923,3,36
22,316,3,36
22,318,5,36
22,173,3,36
22,2150,3,36
22,2081,2,36
22,1282,4,36
22,1358,4,36
22,1288,4,36
22,3608,4,36
22,2302,3,36
22,3033,4,36
22,3107,3,39
22,2161,4,42
22,3039,3,36
22,1291,4,42
22,908,4,57
22,2671,2,36
22,2746,4,36
22,10,3,39
22,1876,1,36
22,16,4,36
22,1370,3,39
22,910,4,57
22,1517,4,36
22,2174,4,36
22,1377,1,36
22,919,3,36
22,3552,3,36
22,2826,3,36
22,1953,2,36
22,1883,2,36
22,344,2,36
22,2321,3,36
22,3052,4,36
22,2324,5,36
22,1527,2,36
22,780,3,36
22,858,4,36
